path,bytes,class,why
docs/statutes/_inbox/C/financial-services/services-management-of-self-directed-assurance-bonds.pdf,106750,original,docs/statutes/_inbox/C/financial-services/services-management-of-self-directed-assurance-bonds.md
docs/statutes/_inbox/C/financial-services/services-management-of-special-investment-funds.md,6626,unreferenced,
docs/statutes/_inbox/C/financial-services/services-management-of-special-investment-funds.pdf,86405,original,docs/statutes/_inbox/C/financial-services/services-management-of-special-investment-funds.md
docs/statutes/_inbox/C/financial-services/services-portfolio-management-services.md,3617,unreferenced,
docs/statutes/_inbox/C/financial-services/services-portfolio-management-services.pdf,77243,original,docs/statutes/_inbox/C/financial-services/services-portfolio-management-services.md
docs/statutes/_inbox/C/financial-services/services-stock-exchange-fees.md,7436,unreferenced,
docs/statutes/_inbox/C/financial-services/services-stock-exchange-fees.pdf,125555,original,docs/statutes/_inbox/C/financial-services/services-stock-exchange-fees.md
docs/statutes/_inbox/C/financial-services/vat-and-payment-services.md,11527,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-and-payment-services.pdf,105038,original,docs/statutes/_inbox/C/financial-services/vat-and-payment-services.md docs/statutes/_inbox/C/vat-and-payment-services.md
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-holding-companies.md,54705,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-holding-companies.pdf,568431,original,docs/statutes/_inbox/C/financial-services/vat-deductibility-for-holding-companies.md
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-insurance-reinsurance.md,15626,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-insurance-reinsurance.pdf,3032620,original,docs/statutes/_inbox/C/financial-services/vat-deductibility-for-insurance-reinsurance.md
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-life-insurance-companies.md,1239,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-life-insurance-companies.pdf,68555,original,docs/statutes/_inbox/C/financial-services/vat-deductibility-for-life-insurance-companies.md
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-the-funds-industry.md,4298,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-deductibility-for-the-funds-industry.pdf,74692,original,docs/statutes/_inbox/C/financial-services/vat-deductibility-for-the-funds-industry.md
docs/statutes/_inbox/C/financial-services/vat-treatment-of-depositary-services-and-global-custody-services.md,4614,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-treatment-of-depositary-services-and-global-custody-services.pdf,445211,original,docs/statutes/_inbox/C/financial-services/vat-treatment-of-depositary-services-and-global-custody-services.md
docs/statutes/_inbox/C/financial-services/vat-treatment-of-establishing-and-managing-a-pension-scheme.md,7601,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-treatment-of-establishing-and-managing-a-pension-scheme.pdf,459368,original,docs/statutes/_inbox/C/financial-services/vat-treatment-of-establishing-and-managing-a-pension-scheme.md
docs/statutes/_inbox/C/financial-services/vat-treatment-of-extended-warranties.md,9091,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-treatment-of-extended-warranties.pdf,473201,original,docs/statutes/_inbox/C/financial-services/vat-treatment-of-extended-warranties.md
docs/statutes/_inbox/C/financial-services/vat-treatment-of-negotiation-services.md,6414,cited-code,src/domain/rules/vatScopeCuration.ts
docs/statutes/_inbox/C/financial-services/vat-treatment-of-negotiation-services.pdf,2330793,original,docs/statutes/_inbox/C/financial-services/vat-treatment-of-negotiation-services.md
docs/statutes/_inbox/C/financial-services/vat-treatment-of-personal-contract-plans.md,6147,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-treatment-of-personal-contract-plans.pdf,79263,original,docs/statutes/_inbox/C/financial-services/vat-treatment-of-personal-contract-plans.md
docs/statutes/_inbox/C/financial-services/vat-treatment-of-the-management-of-pension-schemes.md,10158,unreferenced,
docs/statutes/_inbox/C/financial-services/vat-treatment-of-the-management-of-pension-schemes.pdf,481737,original,docs/statutes/_inbox/C/financial-services/vat-treatment-of-the-management-of-pension-schemes.md
docs/statutes/_inbox/C/immovable-goods-index.html,64632,original,docs/statutes/_inbox/C/immovable-goods-index.md
docs/statutes/_inbox/C/immovable-goods-index.md,616,unreferenced,
docs/statutes/_inbox/C/immovable-goods/cancellation-of-a-holiday-home-election.md,3345,unreferenced,
docs/statutes/_inbox/C/immovable-goods/cancellation-of-a-holiday-home-election.pdf,77086,original,docs/statutes/_inbox/C/immovable-goods/cancellation-of-a-holiday-home-election.md
docs/statutes/_inbox/C/immovable-goods/capital-goods-scheme.md,88076,cited-code,src/domain/vat/capitalGoodsMath.test.ts
docs/statutes/_inbox/C/immovable-goods/capital-goods-scheme.pdf,397531,original,docs/statutes/_inbox/C/immovable-goods/capital-goods-scheme.md
docs/statutes/_inbox/C/immovable-goods/construction-servcies.md,24337,unreferenced,
docs/statutes/_inbox/C/immovable-goods/construction-servcies.pdf,2113439,original,docs/statutes/_inbox/C/construction-reverse-charge/construction-servcies.md docs/statutes/_inbox/C/immovable-goods/construction-servcies.md
docs/statutes/_inbox/C/immovable-goods/fixtures-and-fittings.md,9675,unreferenced,
docs/statutes/_inbox/C/immovable-goods/fixtures-and-fittings.pdf,487039,original,docs/statutes/_inbox/C/immovable-goods/fixtures-and-fittings.md
docs/statutes/_inbox/C/immovable-goods/heat-pump-heating-systems.md,2941,unreferenced,
docs/statutes/_inbox/C/immovable-goods/heat-pump-heating-systems.pdf,439888,original,docs/statutes/_inbox/C/immovable-goods/heat-pump-heating-systems.md
docs/statutes/_inbox/C/immovable-goods/index.html,66193,original,docs/statutes/_inbox/C/immovable-goods/index.md
docs/statutes/_inbox/C/immovable-goods/index.md,600,unreferenced,
docs/statutes/_inbox/C/immovable-goods/letting-of-immovable-goods.md,18073,unreferenced,
docs/statutes/_inbox/C/immovable-goods/letting-of-immovable-goods.pdf,553840,original,docs/statutes/_inbox/C/immovable-goods/letting-of-immovable-goods.md
docs/statutes/_inbox/C/immovable-goods/mortgagees-in-possession-and-asset-receivers.md,12529,unreferenced,
docs/statutes/_inbox/C/immovable-goods/mortgagees-in-possession-and-asset-receivers.pdf,140605,original,docs/statutes/_inbox/C/immovable-goods/mortgagees-in-possession-and-asset-receivers.md
docs/statutes/_inbox/C/immovable-goods/non-business-use-of-property.md,12440,unreferenced,
